monthyear,business_level,category,brand,Sales Amount,Spend on meta Amount,Spend on tv Amount,Spend on ucontent Amount,Spend on youtube Amount
2023-05-01,Business Unit 1,Category 2,Brand 3,49130561661.153015,2014410231.12047,4823835968.300249,0.0,0.0
2023-06-01,Business Unit 1,Category 2,Brand 3,42771241457.595,3352647798.296395,3091787595.80851,0.0,0.0
2023-07-01,Business Unit 1,Category 2,Brand 3,45552492655.38999,4384260682.119025,2539112843.81077,0.0,0.0
2023-08-01,Business Unit 1,Category 2,Brand 3,42311096854.362,2026976591.12047,2907170014.28342,0.0,0.0
2023-09-01,Business Unit 1,Category 2,Brand 3,37761722047.96399,6647607627.143055,2235658016.9135,0.0,0.0
2023-10-01,Business Unit 1,Category 2,Brand 3,45113989523.19,5275005828.01757,2172562383.04371,0.0,0.0
2023-11-01,Business Unit 1,Category 2,Brand 3,37693090872.824005,3383768648.01757,2162932211.177125,0.0,0.0
2023-12-01,Business Unit 1,Category 2,Brand 3,42356644882.818,4927072844.28039,1152767259.16475,0.0,0.0
2024-01-01,Business Unit 1,Category 2,Brand 3,38252802472.57742,4445808101.452541,0.0,0.0,0.0
2024-02-01,Business Unit 1,Category 2,Brand 3,37518848602.00735,4186999361.66144,0.0,0.0,0.0
2024-03-01,Business Unit 1,Category 2,Brand 3,41864596772.0336,10363365301.66144,0.0,0.0,0.0
2024-04-01,Business Unit 1,Category 2,Brand 3,54432590779.98804,3904256261.66144,0.0,0.0,0.0
2024-05-01,Business Unit 1,Category 2,Brand 3,45613452689.66748,2166956991.66144,0.0,0.0,0.0
2024-06-01,Business Unit 1,Category 2,Brand 3,36945287590.84552,5839475704.80303,0.0,0.0,0.0
2024-07-01,Business Unit 1,Category 2,Brand 3,34772772358.69237,4767082717.69401,0.0,0.0,0.0
2024-08-01,Business Unit 1,Category 2,Brand 3,35467448517.14734,8814421674.8887,0.0,0.0,0.0
2024-09-01,Business Unit 1,Category 2,Brand 3,41737637927.26,9528116284.993492,0.0,0.0,0.0
2024-10-01,Business Unit 1,Category 2,Brand 3,44979815355.88,5656152687.69401,0.0,0.0,0.0
2024-11-01,Business Unit 1,Category 2,Brand 3,40311974960.49,6657580577.89454,0.0,0.0,0.0
2024-12-01,Business Unit 1,Category 2,Brand 3,35278418931.609985,4038233837.69401,0.0,0.0,0.0
2025-01-01,Business Unit 1,Category 2,Brand 3,34188469413.829998,4704571242.378544,0.0,0.0,0.0
2025-02-01,Business Unit 1,Category 2,Brand 3,31770513254.43,4716160882.675861,0.0,0.0,0.0
2025-03-01,Business Unit 1,Category 2,Brand 3,34603432108.93688,10785521440.47318,0.0,0.0,816813400.0
2025-04-01,Business Unit 1,Category 2,Brand 3,39982256934.16833,3699262442.378543,0.0,0.0,0.0
2025-05-01,Business Unit 1,Category 2,Brand 3,31343329271.0,3699262442.378543,0.0,0.0,0.0
2020-01-01,Business Unit 1,Category 2,Brand 4,121630186426.365,0.0,5023266624.698303,0.0,359212743.0419142
2020-02-01,Business Unit 1,Category 2,Brand 4,123458367810.998,1796063715.209571,13438152789.94904,0.0,866718429.94584
2020-03-01,Business Unit 1,Category 2,Brand 4,134831679477.55202,5402386115.457388,10955665635.21377,0.0,639679605.2681147
2020-04-01,Business Unit 1,Category 2,Brand 4,99206354240.1,4342839901.437816,6329985881.392003,0.0,459227747.6157034
2020-05-01,Business Unit 1,Category 2,Brand 4,103684448568.511,6275203636.127816,6211582140.768316,0.0,349748117.4618715
2020-06-01,Business Unit 1,Category 2,Brand 4,115620486548.25,2240962252.33678,6523406447.974588,0.0,0.0
2020-07-01,Business Unit 1,Category 2,Brand 4,120896621077.298,3729447710.645514,6132165173.925216,0.0,0.0
2020-08-01,Business Unit 1,Category 2,Brand 4,115978717029.406,5983616469.068644,6256412571.292108,0.0,0.0
2020-09-01,Business Unit 1,Category 2,Brand 4,126678075331.302,2112348931.874344,6031821937.562593,0.0,0.0
